#   v2_ref                 v3_ref     pysiaf.JWST_PRD_VERSION 'PRDOPSSOC-027'
  -0.3276288867102224 -492.96588887005885  NRCALL_FULL
 120.52546407006393   -527.5431321986374   NRCA1_FULL
 119.5890989791352    -459.86330405774663  NRCA2_FULL
  51.88558248294482   -527.9527524294305   NRCA3_FULL
  52.19455017805899   -459.97249016971165  NRCA4_FULL
  86.03901141872866   -493.3857038417111   NRCA5_FULL
-120.96951292849471   -457.7887772274396   NRCB1_FULL
-121.15468437050728   -525.4781411837679   NRCB2_FULL
 -53.13993446339103   -457.82173997940043  NRCB3_FULL
 -52.84570250197705   -525.7293209330118   NRCB4_FULL
 -89.59651439128646   -491.474153244519    NRCB5_FULL





