Visit ID,Dither Index,Aperture,Exp Time,Target,Orient Used,RA Center Rot,Dec Center Rot,s_region
01180025001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.174490,-27.785108,POLYGON ICRS 53.140191601386846 -27.815993177932512 53.14010409419393 -27.755438270358354 53.20829359609651 -27.75492304805789 53.20938876407799 -27.815471425166663 ,
01180025001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.174491,-27.785255,POLYGON ICRS 53.140192990527126 -27.816140046518058 53.14010548255661 -27.755585138976187 53.208295076444436 -27.75506991596677 53.20939024674366 -27.815618293067587 ,
01180025001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.174488,-27.784961,POLYGON ICRS 53.1401902123984 -27.815846322374455 53.14010270598332 -27.755291414768067 53.20829211590941 -27.754776193176497 53.20938728157303 -27.815324570293228 ,
01180025001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.174490,-27.785108,POLYGON ICRS 53.140191601386846 -27.815993177932512 53.14010409419393 -27.755438270358354 53.20829359609651 -27.75492304805789 53.20938876407799 -27.815471425166663 ,
01180025001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.174491,-27.785255,POLYGON ICRS 53.140192990527126 -27.816140046518058 53.14010548255661 -27.755585138976187 53.208295076444436 -27.75506991596677 53.20939024674366 -27.815618293067587 ,
01180025001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.174488,-27.784961,POLYGON ICRS 53.1401902123984 -27.815846322374455 53.14010270598332 -27.755291414768067 53.20829211590941 -27.754776193176497 53.20938728157303 -27.815324570293228 ,
01180025001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.174490,-27.785108,POLYGON ICRS 53.140191601386846 -27.815993177932512 53.14010409419393 -27.755438270358354 53.20829359609651 -27.75492304805789 53.20938876407799 -27.815471425166663 ,
01180025001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.174491,-27.785255,POLYGON ICRS 53.140192990527126 -27.816140046518058 53.14010548255661 -27.755585138976187 53.208295076444436 -27.75506991596677 53.20939024674366 -27.815618293067587 ,
01180025001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.174488,-27.784961,POLYGON ICRS 53.1401902123984 -27.815846322374455 53.14010270598332 -27.755291414768067 53.20829211590941 -27.754776193176497 53.20938728157303 -27.815324570293228 ,
01180026001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.190407,-27.795278,POLYGON ICRS 53.15610999293707 -27.82616656232983 53.15601362495138 -27.765611664834978 53.224209421577115 -27.76508863398709 53.22531356081999 -27.825636884976802 ,
01180026001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.190408,-27.795425,POLYGON ICRS 53.156111403693004 -27.82631343075701 53.15601503490039 -27.765758533293194 53.224210923561145 -27.765235501724305 53.22531506515193 -27.825783752707082 ,
01180026001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.190405,-27.795131,POLYGON ICRS 53.156108582335044 -27.826019706930197 53.15601221515653 -27.76546480940442 53.224207919755976 -27.764941779277592 53.225312056650836 -27.825490030274125 ,
01180026001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.190407,-27.795278,POLYGON ICRS 53.15610999293707 -27.82616656232983 53.15601362495138 -27.765611664834978 53.224209421577115 -27.76508863398709 53.22531356081999 -27.825636884976802 ,
01180026001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.190408,-27.795425,POLYGON ICRS 53.156111403693004 -27.82631343075701 53.15601503490039 -27.765758533293194 53.224210923561145 -27.765235501724305 53.22531506515193 -27.825783752707082 ,
01180026001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.190405,-27.795131,POLYGON ICRS 53.156108582335044 -27.826019706930197 53.15601221515653 -27.76546480940442 53.224207919755976 -27.764941779277592 53.225312056650836 -27.825490030274125 ,
01180026001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.190407,-27.795278,POLYGON ICRS 53.15610999293707 -27.82616656232983 53.15601362495138 -27.765611664834978 53.224209421577115 -27.76508863398709 53.22531356081999 -27.825636884976802 ,
01180026001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.190408,-27.795425,POLYGON ICRS 53.156111403693004 -27.82631343075701 53.15601503490039 -27.765758533293194 53.224210923561145 -27.765235501724305 53.22531506515193 -27.825783752707082 ,
01180026001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.190405,-27.795131,POLYGON ICRS 53.156108582335044 -27.826019706930197 53.15601221515653 -27.76546480940442 53.224207919755976 -27.764941779277592 53.225312056650836 -27.825490030274125 ,
01180026001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.190375,-27.795278,POLYGON ICRS 53.156078734049984 -27.826166554609586 53.15598238346634 -27.765611657098024 53.224178180243996 -27.765088641582906 53.225282302077346 -27.825636892821933 ,
01180026001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.190377,-27.795425,POLYGON ICRS 53.156080144763656 -27.826313423037053 53.15598379337318 -27.765758525556578 53.224179682185834 -27.765235509320405 53.22528380636699 -27.825783760552554 ,
01180026001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.190374,-27.795131,POLYGON ICRS 53.15607732349022 -27.826019699209667 53.155980973713646 -27.76546480166718 53.22417667846502 -27.76494178687301 53.22528079795047 -27.825490038118915 ,
01180026001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.189156,-27.796408,POLYGON ICRS 53.15485886356884 -27.82729680898882 53.15476319196009 -27.76674191107128 53.22295970318374 -27.76621949368797 53.22406315760985 -27.826767754677405 ,
01180026001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.189158,-27.796555,POLYGON ICRS 53.1548602726446 -27.827443677426913 53.15476460023576 -27.766888779541773 53.2229612034978 -27.76636636143951 53.22406466026505 -27.826914622420645 ,
01180026001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.189155,-27.796261,POLYGON ICRS 53.154857454646866 -27.827149953578214 53.15476178383846 -27.766595055628386 53.22295820303242 -27.76607263896409 53.22406165511729 -27.826620899961654 ,
01180026001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.189156,-27.796408,POLYGON ICRS 53.15485886356884 -27.82729680898882 53.15476319196009 -27.76674191107128 53.22295970318374 -27.76621949368797 53.22406315760985 -27.826767754677405 ,
01180026001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.189158,-27.796555,POLYGON ICRS 53.1548602726446 -27.827443677426913 53.15476460023576 -27.766888779541773 53.2229612034978 -27.76636636143951 53.22406466026505 -27.826914622420645 ,
01180026001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.189155,-27.796261,POLYGON ICRS 53.154857454646866 -27.827149953578214 53.15476178383846 -27.766595055628386 53.22295820303242 -27.76607263896409 53.22406165511729 -27.826620899961654 ,
01180026001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.189156,-27.796408,POLYGON ICRS 53.15485886356884 -27.82729680898882 53.15476319196009 -27.76674191107128 53.22295970318374 -27.76621949368797 53.22406315760985 -27.826767754677405 ,
01180026001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.189158,-27.796555,POLYGON ICRS 53.1548602726446 -27.827443677426913 53.15476460023576 -27.766888779541773 53.2229612034978 -27.76636636143951 53.22406466026505 -27.826914622420645 ,
01180026001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.189155,-27.796261,POLYGON ICRS 53.154857454646866 -27.827149953578214 53.15476178383846 -27.766595055628386 53.22295820303242 -27.76607263896409 53.22406165511729 -27.826620899961654 ,
01180026001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.189156,-27.796408,POLYGON ICRS 53.15485886356884 -27.82729680898882 53.15476319196009 -27.76674191107128 53.22295970318374 -27.76621949368797 53.22406315760985 -27.826767754677405 ,
01180026001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.189158,-27.796555,POLYGON ICRS 53.1548602726446 -27.827443677426913 53.15476460023576 -27.766888779541773 53.2229612034978 -27.76636636143951 53.22406466026505 -27.826914622420645 ,
01180026001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.189155,-27.796261,POLYGON ICRS 53.154857454646866 -27.827149953578214 53.15476178383846 -27.766595055628386 53.22295820303242 -27.76607263896409 53.22406165511729 -27.826620899961654 ,
01180027001,1,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.148948,-27.811233,POLYGON ICRS 53.114634811146594 -27.84211186702146 53.11456154008043 -27.781556959290015 53.182767530175916 -27.78105426301687 53.183848729829585 -27.84160283656746 ,
01180027001,2,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.148950,-27.811380,POLYGON ICRS 53.114636165967575 -27.84225873580846 53.11456289427058 -27.781703828139428 53.18276897643182 -27.781201131200987 53.18385017825783 -27.841749704714175 ,
01180027001,3,NRS_FULL_MSA,3501.3330000000005,TINYCAT12,41.0,53.148947,-27.811086,POLYGON ICRS 53.114633456473854 -27.84196501126189 53.11456018603875 -27.781410103468204 53.18276608407723 -27.78090740786041 53.18384728155846 -27.84145598144818 ,
01180027001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.148948,-27.811233,POLYGON ICRS 53.114634811146594 -27.84211186702146 53.11456154008043 -27.781556959290015 53.182767530175916 -27.78105426301687 53.183848729829585 -27.84160283656746 ,
01180027001,2,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.148950,-27.811380,POLYGON ICRS 53.114636165967575 -27.84225873580846 53.11456289427058 -27.781703828139428 53.18276897643182 -27.781201131200987 53.18385017825783 -27.841749704714175 ,
01180027001,3,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.148947,-27.811086,POLYGON ICRS 53.114633456473854 -27.84196501126189 53.11456018603875 -27.781410103468204 53.18276608407723 -27.78090740786041 53.18384728155846 -27.84145598144818 ,
01180027001,1,NRS_FULL_MSA,2844.834,TINYCAT12,41.0,53.148948,-27.811233,POLYGON ICRS 53.114634811146594 -27.84211186702146 53.11456154008043 -27.781556959290015 53.182767530175916 -27.78105426301687 53.183848729829585 -27.84160283656746 ,
