    0.08       0.0000      22.9162      21.2016      30.7503      30.7503       9.8023       9.8023
    0.08       0.0000      22.9091      21.1712      30.7432      30.7432       9.8033       9.8033
    0.08       0.0000      22.9021      21.1413      30.7361      30.7361       9.8043       9.8043
    0.08       0.0000      22.8950      21.1118      30.7291      30.7291       9.8054       9.8054
    0.08       0.0000      22.8880      21.0827      30.7221      30.7221       9.8064       9.8064
    0.09       0.0000      22.8809      21.0540      30.7150      30.7150       9.8074       9.8074
    0.09       0.0000      22.8739      21.0257      30.7080      30.7080       9.8085       9.8085
    0.09       0.0000      22.8668      20.9978      30.7009      30.7009       9.8095       9.8095
    0.09       0.0000      22.8598      20.9703      30.6939      30.6939       9.8106       9.8106
    0.09       0.0000      22.8528      20.9431      30.6869      30.6869       9.8116       9.8116
    0.09       0.0000      22.8457      20.9162      30.6798      30.6798       9.8127       9.8127
    0.09       0.0000      22.8387      20.8898      30.6728      30.6728       9.8137       9.8137
    0.09       0.0000      22.8317      20.8636      30.6658      30.6658       9.8148       9.8148
    0.09       0.0000      22.8247      20.8378      30.6587      30.6587       9.8158       9.8158
    0.09       0.0000      22.8176      20.8123      30.6517      30.6517       9.8169       9.8169
    0.09       0.0000      22.8106      20.7871      30.6447      30.6447       9.8180       9.8180
    0.09       0.0000      22.8036      20.7622      30.6377      30.6377       9.8190       9.8190
    0.09       0.0000      22.7966      20.7377      30.6307      30.6307       9.8201       9.8201
    0.09       0.0000      22.7895      20.7134      30.6236      30.6236       9.8212       9.8212
    0.09       0.0000      22.7825      20.6894      30.6166      30.6166       9.8223       9.8223
    0.09       0.0000      22.7755      20.6657      30.6096      30.6096       9.8234       9.8234
    0.09       0.0000      22.7685      20.6422      30.6026      30.6026       9.8244       9.8244
    0.09       0.0000      22.7615      20.6190      30.5956      30.5956       9.8255       9.8255
    0.09       0.0000      22.7545      20.5961      30.5886      30.5886       9.8266       9.8266
    0.09       0.0000      22.7475      20.5734      30.5816      30.5816       9.8277       9.8277
    0.09       0.0000      22.7405      20.5510      30.5746      30.5746       9.8288       9.8288
    0.09       0.0000      22.7335      20.5288      30.5676      30.5676       9.8299       9.8299
    0.09       0.0000      22.7265      20.5069      30.5606      30.5606       9.8310       9.8310
    0.09       0.0000      22.7195      20.4852      30.5536      30.5536       9.8321       9.8321
    0.09       0.0000      22.7125      20.4637      30.5466      30.5466       9.8332       9.8332
    0.09       0.0000      22.7055      20.4425      30.5396      30.5396       9.8343       9.8343
    0.09       0.0000      22.6985      20.4214      30.5326      30.5326       9.8355       9.8355
    0.09       0.0000      22.6915      20.4006      30.5256      30.5256       9.8366       9.8366
    0.09       0.0000      22.6845      20.3800      30.5186      30.5186       9.8377       9.8377
