  1000 NIRCAM_F405N        
  0.3964513041000000E+01  0.4147111883842843E+01  0.2850388921477451E+02  0.3057779024431007E+01  0.7403889214774509E+01  0.3966836622782511E-11  0.2172142885960257E+03  0.4051557459995180E+01  0.2218533947993715E-16  0.4051654362009836E+01
  0.4051741123026259E+01  0.4051625446292723E+01  0.4051683277933314E+01  0.4051474662105026E+01  0.4047478612227325E+01  0.1735530193278820E+00  0.4600031231626911E-01  0.4549654380283231E-01  0.4028400380085587E+01  0.4074400692401856E+01
  0.1923618236419976E+00  0.4549654380283230E+00  0.4747769165533564E-02  0.4569705277227025E-17  0.1003433439451105E-19  0.2539999961853027E+06  0.2149238936069990E+02  0.2455016991100982E+02  0.2889627857547440E+02
  0.3964513041000000E+01  0.0000000000000000E+00
  0.3964695639842843E+01  0.5187760746772965E-04
  0.3964878238685686E+01  0.5372158442494924E-04
  0.3965060837528529E+01  0.5556556138217333E-04
  0.3965243436371372E+01  0.5740953833939742E-04
  0.3965426035214214E+01  0.5925351529661701E-04
  0.3965608634057057E+01  0.6109749225384110E-04
  0.3965791232899900E+01  0.6294146921106519E-04
  0.3965973831742743E+01  0.6487720205902082E-04
  0.3966156430585586E+01  0.6687410628661182E-04
  0.3966339029428429E+01  0.6887101051420280E-04
  0.3966521628271271E+01  0.7086791474178895E-04
  0.3966704227114114E+01  0.7286481896937993E-04
  0.3966886825956957E+01  0.7486172319697091E-04
  0.3967069424799800E+01  0.7685862742455705E-04
  0.3967252023642643E+01  0.7885334605932053E-04
  0.3967434622485486E+01  0.8083932228509258E-04
  0.3967617221328328E+01  0.8282529851085980E-04
  0.3967799820171171E+01  0.8481127473663184E-04
  0.3967982419014014E+01  0.8679725096239906E-04
  0.3968165017856857E+01  0.8878322718817110E-04
  0.3968347616699700E+01  0.9076920341394314E-04
  0.3968530215542542E+01  0.9275517963971036E-04
  0.3968712814385385E+01  0.9463437420424893E-04
  0.3968895413228228E+01  0.9648687363775048E-04
  0.3969078012071071E+01  0.9833937307124755E-04
  0.3969260610913914E+01  0.1001918725047491E-03
  0.3969443209756757E+01  0.1020443719382506E-03
  0.3969625808599599E+01  0.1038968713717477E-03
  0.3969808407442442E+01  0.1057493708052492E-03
  0.3969991006285285E+01  0.1076035504326137E-03
  0.3970173605128128E+01  0.1094602503652521E-03
  0.3970356203970971E+01  0.1113169502978950E-03
  0.3970538802813814E+01  0.1131736502305379E-03
  0.3970721401656657E+01  0.1150303501631762E-03
  0.3970904000499500E+01  0.1168870500958191E-03
  0.3971086599342343E+01  0.1187437500284620E-03
  0.3971269198185185E+01  0.1206004497982192E-03
  0.3971451797028028E+01  0.1222965434448380E-03
  0.3971634395870871E+01  0.1239926370914568E-03
  0.3971816994713714E+01  0.1256887307380715E-03
  0.3971999593556557E+01  0.1273848243846903E-03
  0.3972182192399400E+01  0.1290809180313091E-03
  0.3972364791242242E+01  0.1307770116779238E-03
  0.3972547390085085E+01  0.1324731053245425E-03
  0.3972729988927928E+01  0.1340820523906800E-03
  0.3972912587770771E+01  0.1356329012356659E-03
  0.3973095186613614E+01  0.1371837500806555E-03
  0.3973277785456457E+01  0.1387345989256451E-03
  0.3973460384299299E+01  0.1402854477706310E-03
  0.3973642983142142E+01  0.1418362966156206E-03
  0.3973825581984985E+01  0.1433871454606065E-03
  0.3974008180827828E+01  0.1449581752255658E-03
  0.3974190779670671E+01  0.1466099285066709E-03
  0.3974373378513513E+01  0.1482616817877720E-03
  0.3974555977356356E+01  0.1499134350688771E-03
  0.3974738576199199E+01  0.1515651883499822E-03
  0.3974921175042042E+01  0.1532169416310833E-03
  0.3975103773884885E+01  0.1548686949121884E-03
  0.3975286372727728E+01  0.1565204481932935E-03
  0.3975468971570570E+01  0.1583270303781251E-03
  0.3975651570413413E+01  0.1601723204562391E-03
  0.3975834169256256E+01  0.1620176105343530E-03
  0.3976016768099099E+01  0.1638629006124625E-03
  0.3976199366941942E+01  0.1657081906905765E-03
  0.3976381965784785E+01  0.1675534807686905E-03
  0.3976564564627628E+01  0.1693987708468000E-03
  0.3976747163470471E+01  0.1713759194508002E-03
  0.3976929762313314E+01  0.1735508561445142E-03
  0.3977112361156156E+01  0.1757257928382230E-03
  0.3977294959998999E+01  0.1779007295319371E-03
  0.3977477558841842E+01  0.1800756662256512E-03
  0.3977660157684685E+01  0.1822506029193600E-03
  0.3977842756527528E+01  0.1844255396130740E-03
  0.3978025355370371E+01  0.1866004770715271E-03
  0.3978207954213213E+01  0.1891524430050264E-03
  0.3978390553056056E+01  0.1917044089385319E-03
  0.3978573151898899E+01  0.1942563748720374E-03
  0.3978755750741742E+01  0.1968083408055367E-03
  0.3978938349584585E+01  0.1993603067390422E-03
  0.3979120948427428E+01  0.2019122726725477E-03
  0.3979303547270270E+01  0.2044642386060470E-03
  0.3979486146113113E+01  0.2071897102048245E-03
  0.3979668744955956E+01  0.2100308527554568E-03
  0.3979851343798799E+01  0.2128719953060821E-03
  0.3980033942641642E+01  0.2157131378567144E-03
  0.3980216541484484E+01  0.2185542804073397E-03
  0.3980399140327327E+01  0.2213954229579720E-03
  0.3980581739170170E+01  0.2242365655086043E-03
  0.3980764338013013E+01  0.2270374327509642E-03
  0.3980946936855856E+01  0.2296772001081719E-03
  0.3981129535698699E+01  0.2323169674653796E-03
  0.3981312134541541E+01  0.2349567348225809E-03
  0.3981494733384384E+01  0.2375965021797887E-03
  0.3981677332227227E+01  0.2402362695369964E-03
  0.3981859931070070E+01  0.2428760368941977E-03
  0.3982042529912913E+01  0.2455158042514054E-03
